title,main_info1,main_info2,main_info3
Мадагаскар,"Madagascar, 2005, 86 мин.",США • мультфильм  Режиссёр: Эрик Дарнелл,"В ролях: Бен Стиллер, Крис Рок"
Вам и не снилось...,"1980, 86 мин.",СССР • драма  Режиссёр: Илья Фрэз,"В ролях: Татьяна Аксюта, Никита Михайловский"
Один дома 2: Затерянный в Нью-Йорке,"Home Alone 2: Lost in New York, 1992, 119 мин.",США • комедия  Режиссёр: Крис Коламбус,"В ролях: Маколей Калкин, Джо Пеши"
12 стульев,"1971, 153 мин.",СССР • комедия  Режиссёр: Леонид Гайдай,"В ролях: Арчил Гомиашвили, Сергей Филиппов"
12 разгневанных мужчин,"12 Angry Men, 1956, 96 мин.",США • драма  Режиссёр: Сидни Люмет,"В ролях: Генри Фонда, Мартин Болсам"
Шоу Трумана,"The Truman Show, 1998, 103 мин.",США • драма  Режиссёр: Питер Уир,"В ролях: Джим Керри, Лора Линни"
Дело храбрых,"Only the Brave, 2017, 134 мин.",США • драма  Режиссёр: Джозеф Косински,"В ролях: Джош Бролин, Майлз Теллер"
Рататуй,"Ratatouille, 2007, 111 мин.",США • мультфильм  Режиссёр: Брэд Бёрд,"В ролях: Пэттон Освальт, Иэн Холм"
Остров сокровищ,"1988, 107 мин.",СССР • мультфильм  Режиссёр: Давид Черкасский,"В ролях: Владимир Заднепровский, Евгений Паперный"
Летят журавли,"1957, 95 мин.",СССР • военный  Режиссёр: Михаил Калатозов,"В ролях: Татьяна Самойлова, Алексей Баталов"
Пираты Карибского моря: Сундук мертвеца,"Pirates of the Caribbean: Dead Man's Chest, 2006, 151 мин.",США • фэнтези  Режиссёр: Гор Вербински,"В ролях: Джонни Депп, Орландо Блум"
Гарри Поттер и Принц-полукровка,"Harry Potter and the Half-Blood Prince, 2009, 153 мин.",Великобритания • фэнтези  Режиссёр: Дэвид Йейтс,"В ролях: Дэниэл Рэдклифф, Руперт Гринт"
